major_city,uszip_county,inc_tot,np_cnt,inc_rank,nbr_np_rank,inc_rank_seq,np_cnt_rank_seq,dc_place,Count_Person,Median_Age_Person,dc_all_names,dc_name,dc_usCensusGeoId,dc_latitude,dc_longitude,dc_musicbrainzAreaId,dc_fips553,dc_wikidataId,dc_contained,dc_zip,dc_county,dc_county_name,cnty_sub_o_ind,NAME,cnty_sub_B01001_001E,cnty_sub_state,cnty_sub_county,county subdivision,cnty_sub_name,acs5_name,place_B01001_001E,state,acs5_place_fips,acs5_city,cnty_B01001_001E,state_fips,cnty_fips,county_name,state_name,city_population,city_pop_src
New York,New York County,296713236745.0,20896,1.0,1.0,1,1,,,,,,,,,,,,,,,,,,,,,,,"New York city, New York",8622467.0,36,51000,New York,1645867.0,36.0,061,New York County, New York,8622467.0,Census ACS5 Places
Brooklyn,Kings County,22840916762.0,15084,3.0,2.0,3,2,,,,,,,,,,,,,,,,443.0,"Brooklyn borough, Kings County, New York",2679620.0, New York,Kings County,10022,Brooklyn,,,,,,2679620.0,36.0,047,Kings County, New York,2679620.0,Census ACS5 County Subdivision
Bronx,Bronx County,16289411330.0,3971,4.0,3.0,4,3,,,,,,,,,,,,,,,,43.0,"Bronx borough, Bronx County, New York",1443229.0, New York,Bronx County,08510,Bronx,,,,,,1443229.0,36.0,005,Bronx County, New York,1443229.0,Census ACS5 County Subdivision
Buffalo,Erie County,10605852252.0,3837,8.0,4.0,8,4,geoId/3611000,278349.0,33.9,['Buffalo'],Buffalo,1600000US3611000,42.892492,-78.849444444444,7e5e7fd7-c1eb-4cb8-87e2-fb1c0eda9e48,36-11000,Q40435,"['geoId/36', 'geoId/36029']",,geoId/36029,Erie County,286.0,"Buffalo city, Erie County, New York",276688.0, New York,Erie County,11000,Buffalo,"Buffalo city, New York",276688.0,36,11000,Buffalo,951232.0,36.0,029,Erie County, New York,276688.0,Census ACS5 County Subdivision
Rochester,Monroe County,16159484492.0,2753,5.0,5.0,5,5,geoId/3663000,211328.0,32.9,['Rochester'],Rochester,1600000US3663000,43.165555555556,-77.611388888889,17203e02-355a-40db-a524-980192eb9d0f,36-63000,Q49218,"['geoId/36', 'geoId/36055']",,geoId/36055,Monroe County,511.0,"Rochester city, Monroe County, New York",210992.0, New York,Monroe County,63000,Rochester,"Rochester city, New York",210992.0,36,63000,Rochester,756406.0,36.0,055,Monroe County, New York,210992.0,Census ACS5 County Subdivision
Albany,Albany County,15342991990.0,2163,6.0,6.0,6,6,geoId/3601000,99224.0,31.6,['Albany'],Albany,1600000US3601000,42.65,-73.766666666667,1789b8b7-dfc4-409a-8916-25cde916e311,36-01000,Q24861,"['geoId/36', 'geoId/36001']",,geoId/36001,Albany County,0.0,"Albany city, Albany County, New York",99692.0, New York,Albany County,01000,Albany,"Albany city, New York",99692.0,36,01000,Albany,315041.0,36.0,001,Albany County, New York,99692.0,Census ACS5 County Subdivision
Staten Island,Richmond County,2059545582.0,1680,15.0,7.0,15,7,,,,,,,,,,,,,,,,726.0,"Staten Island borough, Richmond County, New York",492925.0, New York,Richmond County,70915,Staten Island,,,,,,492925.0,36.0,085,Richmond County, New York,492925.0,Census ACS5 County Subdivision
Syracuse,Onondaga County,7508000138.0,1451,9.0,8.0,9,8,geoId/3673000,148620.0,31.7,['Syracuse'],Syracuse,1600000US3673000,43.040998,-76.143554,1fee56fe-5b76-4a50-bc63-37ee51d3300f,36-73000,Q128069,"['geoId/36', 'geoId/36067']",,geoId/36067,Onondaga County,597.0,"Syracuse city, Onondaga County, New York",146134.0, New York,Onondaga County,73000,Syracuse,"Syracuse city, New York",146134.0,36,73000,Syracuse,472637.0,36.0,067,Onondaga County, New York,146134.0,Census ACS5 County Subdivision
Flushing,Queens County,3297948443.0,1148,11.0,9.0,11,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,2360826.0,36.0,081,Queens County, New York,,
Jamaica,Queens County,2140089086.0,1033,14.0,10.0,14,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,2360826.0,36.0,081,Queens County, New York,,
Monsey,Rockland County,608341191.0,1013,54.0,11.0,54,11,geoId/3648010,26954.0,14.6,['Monsey'],Monsey,1600000US3648010,41.109477,-74.0658,,36-48010,Q2917470,"['geoId/36', 'geoId/36087']",,geoId/36087,Rockland County,,,,,,,,"Monsey CDP, New York",28287.0,36,48010,Monsey,337326.0,36.0,087,Rockland County, New York,28287.0,Census ACS5 Places
Ithaca,Tompkins County,13046805447.0,848,7.0,12.0,7,12,geoId/3638077,32108.0,22.3,['Ithaca'],Ithaca,1600000US3638077,42.443333333333,-76.5,68d8f243-fd55-4ca1-b511-48fa93575476,36-38077,Q217346,"['geoId/36', 'geoId/36109']",,geoId/36109,Tompkins County,902.0,"Ithaca city, Tompkins County, New York",31359.0, New York,Tompkins County,38077,Ithaca,"Ithaca city, New York",31359.0,36,38077,Ithaca,102555.0,36.0,109,Tompkins County, New York,31359.0,Census ACS5 County Subdivision
Schenectady,Schenectady County,4899644397.0,750,10.0,13.0,10,13,geoId/3665508,67047.0,36.8,['Schenectady'],Schenectady,1600000US3665508,42.802641,-73.9272,9742d8c9-6271-469c-983a-618db962ee12,36-65508,Q331380,"['geoId/36', 'geoId/36093']",,geoId/36093,Schenectady County,791.0,"Schenectady city, Schenectady County, New York",68476.0, New York,Schenectady County,65508,Schenectady,"Schenectady city, New York",68476.0,36,65508,Schenectady,159447.0,36.0,093,Schenectady County, New York,68476.0,Census ACS5 County Subdivision
Spring Valley,Rockland County,622534567.0,699,52.0,14.0,52,14,geoId/3670420,33066.0,28.3,['Spring Valley'],Spring Valley,1600000US3670420,41.114567,-74.048712,,,,"['geoId/36', 'geoId/36087']",,geoId/36087,Rockland County,,,,,,,,"Spring Valley village, New York",32963.0,36,70420,Spring Valley,337326.0,36.0,087,Rockland County, New York,32963.0,Census ACS5 Places
Yonkers,Westchester County,1569345958.0,611,24.0,15.0,24,15,geoId/3684000,211569.0,39.1,['Yonkers'],Yonkers,1600000US3684000,40.941388888889,-73.864444444444,86d8a716-a1bd-44c3-8d19-b72b57e86629,36-84000,Q128114,"['geoId/36', 'geoId/36119']",,geoId/36119,Westchester County,996.0,"Yonkers city, Westchester County, New York",209780.0, New York,Westchester County,84000,Yonkers,"Yonkers city, New York",209780.0,36,84000,Yonkers,997904.0,36.0,119,Westchester County, New York,209780.0,Census ACS5 County Subdivision
White Plains,Westchester County,1533774037.0,598,26.0,16.0,26,16,geoId/3681677,59559.0,41.4,['White Plains'],White Plains,1600000US3681677,41.0238,-73.751048,88ef07c5-a926-4ea6-a601-8e224a6763c0,36-81677,Q462177,"['geoId/36', 'geoId/36119']",,geoId/36119,Westchester County,995.0,"White Plains city, Westchester County, New York",59421.0, New York,Westchester County,81677,White Plains,"White Plains city, New York",59421.0,36,81677,White Plains,997904.0,36.0,119,Westchester County, New York,59421.0,Census ACS5 County Subdivision
Binghamton,Broome County,2005984788.0,514,16.0,17.0,16,17,geoId/3606607,47969.0,36.1,['Binghamton'],Binghamton,1600000US3606607,42.101331,-75.909369,fdeae765-7e08-4eae-b92c-c505d984a833,36-06607,Q213814,"['geoId/36', 'geoId/36007']",,geoId/36007,Broome County,45.0,"Binghamton city, Broome County, New York",47617.0, New York,Broome County,06607,Binghamton,"Binghamton city, New York",47617.0,36,06607,Binghamton,198365.0,36.0,007,Broome County, New York,47617.0,Census ACS5 County Subdivision
Fairport,Monroe County,105991252.0,501,181.0,18.0,181,18,geoId/3625076,47479.0,48.2,"['Fairport', 'Perinton, New York']",Fairport,1600000US3625076,43.083333333333,-77.433333333333,,36-25076,Q3709653,"['geoId/36', 'geoId/36055', 'zip/14450']",14450,geoId/36055,Monroe County,,,,,,,,"Fairport village, New York",5442.0,36,25076,Fairport,756406.0,36.0,055,Monroe County, New York,5442.0,Census ACS5 Places
Monroe,Orange County,351637197.0,496,81.0,19.0,81,19,geoId/3647988,9343.0,35.5,"['Monroe', 'Monroe (village), New York']",Monroe,1600000US3647988,41.317698,-74.185748,,36-47988,Q930299,"['geoId/36', 'geoId/36071', 'zip/10950']",10950,geoId/36071,Orange County,629.0,"Monroe town, Orange County, New York",21240.0, New York,Orange County,47999,Monroe,"Monroe village, New York",9420.0,36,47988,Monroe,401237.0,36.0,071,Orange County, New York,21240.0,Census ACS5 County Subdivision
Poughkeepsie,Dutchess County,3289074118.0,495,12.0,20.0,12,20,geoId/3659652,45471.0,,['Poughkeepsie'],Poughkeepsie,,41.6711,-73.9069,,36-59652,Q1002445,['geoId/36027'],,geoId/36027,Dutchess County,273.0,"Poughkeepsie town, Dutchess County, New York",45390.0, New York,Dutchess County,59652,Poughkeepsie,"Poughkeepsie city, New York",31717.0,36,59641,Poughkeepsie,296467.0,36.0,027,Dutchess County, New York,45390.0,Census ACS5 County Subdivision
Astoria,Queens County,874020970.0,459,39.0,21.0,39,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,2360826.0,36.0,081,Queens County, New York,,
Garden City,Nassau County,1584398371.0,437,21.0,22.0,21,22,geoId/3628178,23272.0,41.6,['Garden City'],Garden City,1600000US3628178,40.725756,-73.645398,db7e4639-1163-41d3-98a6-c350eed8028a,36-28178,Q739452,"['geoId/36', 'geoId/36059', 'geoId/3634000']",,geoId/36059,Nassau County,,,,,,,,"Garden City village, New York",22871.0,36,28178,Garden City,1389160.0,36.0,059,Nassau County, New York,22871.0,Census ACS5 Places
Troy,Rensselaer County,1975041345.0,424,17.0,23.0,17,23,geoId/3675484,51401.0,32.5,['Troy'],Troy,1600000US3675484,42.731666666667,-73.675321,567b7bcf-c545-4ef4-bce7-4ecc95a01c83,36-75484,Q600301,"['geoId/36', 'geoId/36083']",,geoId/36083,Rensselaer County,725.0,"Troy city, Rensselaer County, New York",51268.0, New York,Rensselaer County,75484,Troy,"Troy city, New York",51268.0,36,75484,Troy,160943.0,36.0,083,Rensselaer County, New York,51268.0,Census ACS5 County Subdivision
New Rochelle,Westchester County,1274995307.0,415,27.0,24.0,27,24,geoId/3650617,79726.0,40.8,['New Rochelle'],New Rochelle,1600000US3650617,40.908611111111,-73.779344,bed193ed-f886-4041-877a-2c9e64f9ab88,36-50617,Q744948,"['geoId/36', 'geoId/36119']",,geoId/36119,Westchester County,984.0,"New Rochelle city, Westchester County, New York",80828.0, New York,Westchester County,50617,New Rochelle,"New Rochelle city, New York",80828.0,36,50617,New Rochelle,997904.0,36.0,119,Westchester County, New York,80828.0,Census ACS5 County Subdivision
Great Neck,Nassau County,511177885.0,380,60.0,25.0,60,25,geoId/3630169,,32.9,['Great Neck'],Great Neck,1600000US3630169,40.787222222222,-73.727222222222,a77c8aec-4085-4af5-8582-372052573815,36-30169,Q1378786,"['geoId/36', 'geoId/36059']",,geoId/36059,Nassau County,,,,,,,,"Great Neck village, New York",11060.0,36,30169,Great Neck,1389160.0,36.0,059,Nassau County, New York,11060.0,Census ACS5 Places
Saratoga Springs,Saratoga County,1180070228.0,377,28.0,26.0,28,26,geoId/3665255,28491.0,42.1,['Saratoga Springs'],Saratoga Springs,1600000US3665255,43.067704,-73.778142,bcc3aa42-d9cf-40e6-86e9-527162ae4b12,36-65255,Q1144357,"['geoId/36', 'geoId/36091']",,geoId/36091,Saratoga County,782.0,"Saratoga Springs city, Saratoga County, New York",28505.0, New York,Saratoga County,65255,Saratoga Springs,"Saratoga Springs city, New York",28505.0,36,65255,Saratoga Springs,236328.0,36.0,091,Saratoga County, New York,28505.0,Census ACS5 County Subdivision
Mount Vernon,Westchester County,161499371.0,363,142.0,27.0,142,27,geoId/3649121,73893.0,41.6,['Mount Vernon'],Mount Vernon,1600000US3649121,40.913105,-73.829317,9d60249e-24eb-4c00-8527-9e0ba245caaf,36-49121,Q835831,"['geoId/36', 'geoId/36119']",,geoId/36119,Westchester County,982.0,"Mount Vernon city, Westchester County, New York",72817.0, New York,Westchester County,49121,Mount Vernon,"Mount Vernon city, New York",72817.0,36,49121,Mount Vernon,997904.0,36.0,119,Westchester County, New York,72817.0,Census ACS5 County Subdivision
Long Island City,Queens County,1576562946.0,354,22.0,28.0,22,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,2360826.0,36.0,081,Queens County, New York,,
Scarsdale,Westchester County,389954103.0,340,77.0,29.0,77,29,geoId/3665431,18253.0,41.1,['Scarsdale'],Scarsdale,1600000US3665431,40.993614,-73.777201,,,,"['geoId/36', 'geoId/36119', 'zip/10583']",10583,geoId/36119,Westchester County,993.0,"Scarsdale town, Westchester County, New York",18061.0, New York,Westchester County,65442,Scarsdale,"Scarsdale village, New York",18061.0,36,65431,Scarsdale,997904.0,36.0,119,Westchester County, New York,18061.0,Census ACS5 County Subdivision
Westbury,Nassau County,22891679278.0,326,2.0,30.0,2,30,geoId/3679444,15864.0,42.8,['Westbury'],Westbury,1600000US3679444,40.7589,-73.5881,07fc79d7-d5a2-413c-927f-bbfffa0d8c00,36-79444,Q282747,"['geoId/36', 'geoId/36059', 'geoId/3634000', 'zip/11590']",11590,geoId/36059,Nassau County,,,,,,,,"Westbury village, New York",15788.0,36,79444,Westbury,1389160.0,36.0,059,Nassau County, New York,15788.0,Census ACS5 Places
Kingston,Ulster County,1133184523.0,323,30.0,31.0,30,31,geoId/3639727,24069.0,36.4,['Kingston'],Kingston,1600000US3639727,41.925,-73.996782,97729a25-fc89-47fa-8fcb-a16be34d6898,36-39727,Q868660,"['geoId/36', 'geoId/36111', 'zip/12401']",12401,geoId/36111,Ulster County,912.0,"Kingston city, Ulster County, New York",24018.0, New York,Ulster County,39727,Kingston,"Kingston city, New York",24018.0,36,39727,Kingston,182153.0,36.0,111,Ulster County, New York,24018.0,Census ACS5 County Subdivision
Utica,Oneida County,1727990124.0,319,18.0,32.0,18,32,geoId/3676540,65283.0,34.5,['Utica'],Utica,1600000US3676540,43.096382,-75.225983,2cd48722-8043-406b-9604-d271df95c966,36-76540,Q2495519,"['geoId/36', 'geoId/36065']",,geoId/36065,Oneida County,572.0,"Utica city, Oneida County, New York",64728.0, New York,Oneida County,76540,Utica,"Utica city, New York",64728.0,36,76540,Utica,231055.0,36.0,065,Oneida County, New York,64728.0,Census ACS5 County Subdivision
New Hyde Park,Nassau County,803546846.0,318,42.0,33.0,42,33,geoId/3650397,10257.0,41.2,['New Hyde Park'],New Hyde Park,1600000US3650397,40.7322,-73.6847,,36-50397,Q3451856,"['geoId/36', 'geoId/36059', 'zip/11040']",11040,geoId/36059,Nassau County,,,,,,,,"New Hyde Park village, New York",10235.0,36,50397,New Hyde Park,1389160.0,36.0,059,Nassau County, New York,10235.0,Census ACS5 Places
Valley Stream,Nassau County,258570094.0,316,103.0,34.0,103,34,geoId/3676705,40634.0,42.0,['Valley Stream'],Valley Stream,1600000US3676705,40.6647,-73.7033,cfb2e826-5f29-43ee-b3f9-74c8c861c8f4,36-76705,Q3476571,"['geoId/36', 'geoId/36059']",,geoId/36059,Nassau County,,,,,,,,"Valley Stream village, New York",40288.0,36,76705,Valley Stream,1389160.0,36.0,059,Nassau County, New York,40288.0,Census ACS5 Places
Queens Village,Queens County,110083170.0,311,177.0,35.0,177,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,2360826.0,36.0,081,Queens County, New York,,
Huntington Station,Suffolk County,53820670.0,310,266.0,36.0,266,36,geoId/3637044,34878.0,39.9,['Huntington Station'],Huntington Station,1600000US3637044,40.844488,-73.404812,33d0b9b1-b00f-4757-9b2b-8b7590c979ca,36-37044,Q3452350,"['geoId/36', 'geoId/36103']",,geoId/36103,Suffolk County,,,,,,,,"Huntington Station CDP, New York",34588.0,36,37044,Huntington Station,1524486.0,36.0,103,Suffolk County, New York,34588.0,Census ACS5 Places
Huntington,Suffolk County,253101496.0,309,106.0,37.0,106,37,geoId/3637000,204127.0,,['Huntington'],Huntington,,40.868055555556,-73.426111111111,c9c39cb4-c978-4a00-97ed-9f8831dab11d,36-37000,Q999123,['geoId/36103'],,geoId/36103,Suffolk County,864.0,"Huntington town, Suffolk County, New York",203808.0, New York,Suffolk County,37000,Huntington,"Huntington CDP, New York",19610.0,36,36233,Huntington,1524486.0,36.0,103,Suffolk County, New York,203808.0,Census ACS5 County Subdivision
Forest Hills,Queens County,336486908.0,301,86.0,38.0,86,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,2360826.0,36.0,081,Queens County, New York,,
Far Rockaway,Queens County,154959386.0,294,148.0,39.0,148,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,2360826.0,36.0,081,Queens County, New York,,
Elmira,Chemung County,680514901.0,292,49.0,40.0,49,40,geoId/3624229,26523.0,35.8,['Elmira'],Elmira,1600000US3624229,42.085277777778,-76.809166666667,3a1fee6d-7299-41d8-8256-99a7c2095562,36-24229,Q934135,"['geoId/36', 'geoId/36015']",,geoId/36015,Chemung County,160.0,"Elmira city, Chemung County, New York",26494.0, New York,Chemung County,24229,Elmira,"Elmira city, New York",26494.0,36,24229,Elmira,83584.0,36.0,015,Chemung County, New York,26494.0,Census ACS5 County Subdivision
Suffern,Rockland County,940124020.0,288,37.0,41.0,37,41,geoId/3671894,11402.0,44.6,['Suffern'],Suffern,1600000US3671894,41.1119,-74.141382,0455a49a-892d-4fd3-87e3-ef80cabda43e,36-71894,Q3273919,"['geoId/36', 'geoId/36087', 'zip/10901']",10901,geoId/36087,Rockland County,,,,,,,,"Suffern village, New York",11376.0,36,71894,Suffern,337326.0,36.0,087,Rockland County, New York,11376.0,Census ACS5 Places
Newburgh,Orange County,579616807.0,286,58.0,42.0,58,42,geoId/3650045,31985.0,,"['Newburgh (town), New York']",Newburgh,,41.5417,-74.0631,54e7cd44-79bf-4d04-949d-5e9cfc6dfc3a,36-50045,Q7017154,['geoId/36071'],,geoId/36071,Orange County,633.0,"Newburgh town, Orange County, New York",31808.0, New York,Orange County,50045,Newburgh,"Newburgh city, New York",28751.0,36,50034,Newburgh,401237.0,36.0,071,Orange County, New York,31808.0,Census ACS5 County Subdivision
Middletown,Orange County,1046316993.0,283,32.0,43.0,32,43,geoId/3647042,30345.0,37.8,['Middletown'],Middletown,1600000US3647042,41.444922,-74.42194,7647b978-59e5-4755-9f0e-0188f520d21d,36-47042,Q304801,"['geoId/36', 'geoId/36071', 'zip/10940']",10940,geoId/36071,Orange County,627.0,"Middletown city, Orange County, New York",30169.0, New York,Orange County,47042,Middletown,"Middletown city, New York",30169.0,36,47042,Middletown,401237.0,36.0,071,Orange County, New York,30169.0,Census ACS5 County Subdivision
Niagara Falls,Niagara County,294449468.0,278,94.0,44.0,94,44,geoId/3651055,48671.0,40.1,['Niagara Falls'],Niagara Falls,1600000US3651055,43.092841,-79.014743,2e522736-1ecd-41f3-b063-9455318ea7d9,36-51055,Q128133,"['geoId/36', 'geoId/36063']",,geoId/36063,Niagara County,541.0,"Niagara Falls city, Niagara County, New York",48502.0, New York,Niagara County,51055,Niagara Falls,"Niagara Falls city, New York",48502.0,36,51055,Niagara Falls,212230.0,36.0,063,Niagara County, New York,48502.0,Census ACS5 County Subdivision
Hempstead,Nassau County,1059365702.0,277,31.0,45.0,31,45,geoId/3634000,793409.0,,['Hempstead'],Hempstead,,40.704722222222,-73.617222222222,8781d121-1b3f-461d-ad9a-042ac00533e8,36-34000,Q1583289,['geoId/36059'],,geoId/36059,Nassau County,528.0,"Hempstead town, Nassau County, New York",789763.0, New York,Nassau County,34000,Hempstead,"Hempstead village, New York",58557.0,36,33139,Hempstead,1389160.0,36.0,059,Nassau County, New York,789763.0,Census ACS5 County Subdivision
Norwich,Chenango County,170726032.0,275,136.0,46.0,136,46,geoId/3653979,7051.0,41.5,['Norwich'],Norwich,1600000US3653979,42.531944444444,-75.521666666667,5df1244a-7338-4025-bb1a-0be408beaf2c,36-53979,Q1380484,"['geoId/36', 'geoId/36017', 'zip/13815']",13815,geoId/36017,Chenango County,178.0,"Norwich city, Chenango County, New York",6950.0, New York,Chenango County,53979,Norwich,"Norwich city, New York",6950.0,36,53979,Norwich,47096.0,36.0,017,Chenango County, New York,6950.0,Census ACS5 County Subdivision
Jamestown,Chautauqua County,279870646.0,272,99.0,47.0,99,47,geoId/3638264,28712.0,36.8,['Jamestown'],Jamestown,1600000US3638264,42.095555555556,-79.236135,bea8044d-66f2-4d4e-91d9-f63ba18b99ac,36-38264,Q983861,"['geoId/36', 'geoId/36013', 'zip/14701']",14701,geoId/36013,Chautauqua County,142.0,"Jamestown city, Chautauqua County, New York",28679.0, New York,Chautauqua County,38264,Jamestown,"Jamestown city, New York",28679.0,36,38264,Jamestown,127440.0,36.0,013,Chautauqua County, New York,28679.0,Census ACS5 County Subdivision
Melville,Suffolk County,466582526.0,266,65.0,48.0,65,48,geoId/3646514,19284.0,51.0,['Melville'],Melville,1600000US3646514,40.782357,-73.4056,afd22cfe-26b4-4dd0-ba96-3f0853fa059e,36-46514,Q3101080,"['geoId/36', 'geoId/36103']",,geoId/36103,Suffolk County,,,,,,,,"Melville CDP, New York",18526.0,36,46514,Melville,1524486.0,36.0,103,Suffolk County, New York,18526.0,Census ACS5 Places
Port Washington,Nassau County,424552917.0,255,70.0,49.0,70,49,geoId/3659520,16753.0,42.2,['Port Washington'],Port Washington,1600000US3659520,40.827452,-73.680008,,36-59520,Q1399190,"['geoId/36', 'geoId/36059', 'zip/11050']",11050,geoId/36059,Nassau County,,,,,,,,"Port Washington CDP, New York",17015.0,36,59520,Port Washington,1389160.0,36.0,059,Nassau County, New York,17015.0,Census ACS5 Places
Clifton Park,Saratoga County,87970274.0,253,198.0,50.0,198,50,geoId/3616353,38029.0,,['Clifton Park'],Clifton Park,,42.866666666667,-73.816666666667,f56b5c1f-49a5-4395-887e-676151e79e20,36-16353,Q3709610,['geoId/36091'],,geoId/36091,Saratoga County,767.0,"Clifton Park town, Saratoga County, New York",38076.0, New York,Saratoga County,16353,Clifton Park,,,,,,236328.0,36.0,091,Saratoga County, New York,38076.0,Census ACS5 County Subdivision
New City,Rockland County,148965398.0,246,152.0,51.0,152,51,geoId/3650100,34135.0,44.8,['New City'],New City,1600000US3650100,41.1456,-73.990426,,36-50100,Q3053698,"['geoId/36', 'geoId/36087']",,geoId/36087,Rockland County,,,,,,,,"New City CDP, New York",33837.0,36,50100,New City,337326.0,36.0,087,Rockland County, New York,33837.0,Census ACS5 Places
Woodside,Queens County,165025583.0,246,141.0,51.0,141,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,2360826.0,36.0,081,Queens County, New York,,
Watertown,Jefferson County,753836538.0,245,46.0,53.0,46,53,geoId/3678608,24685.0,34.4,['Watertown'],Watertown,1600000US3678608,43.973292,-75.9064,5e60a7e4-bf79-4101-b879-85061230f443,36-78608,Q1378026,"['geoId/36', 'geoId/36045', 'zip/13601']",13601,geoId/36045,Jefferson County,439.0,"Watertown city, Jefferson County, New York",24859.0, New York,Jefferson County,78608,Watertown,"Watertown city, New York",24859.0,36,78608,Watertown,117445.0,36.0,045,Jefferson County, New York,24859.0,Census ACS5 County Subdivision
Auburn,Cayuga County,502137881.0,239,62.0,54.0,62,54,geoId/3603078,26866.0,39.9,['Auburn'],Auburn,1600000US3603078,42.931661111111,-76.564769444444,27b29a82-d6e5-490b-80a6-965c9f77c741,36-03078,Q225519,"['geoId/36', 'geoId/36011']",,geoId/36011,Cayuga County,99.0,"Auburn city, Cayuga County, New York",26674.0, New York,Cayuga County,03078,Auburn,"Auburn city, New York",26674.0,36,03078,Auburn,76171.0,36.0,011,Cayuga County, New York,26674.0,Census ACS5 County Subdivision
Lockport,Niagara County,139475913.0,236,157.0,55.0,157,55,geoId/3643082,20876.0,37.6,['Lockport'],Lockport,1600000US3643082,43.16946,-78.6911,c584bd58-1fd7-4e3f-87d2-4ae9715f2220,36-43082,Q1077109,"['geoId/36', 'geoId/36063', 'zip/14094']",14094,geoId/36063,Niagara County,537.0,"Lockport city, Niagara County, New York",20808.0, New York,Niagara County,43082,Lockport,"Lockport city, New York",20808.0,36,43082,Lockport,212230.0,36.0,063,Niagara County, New York,20808.0,Census ACS5 County Subdivision
Pittsford,Monroe County,224120573.0,228,113.0,56.0,113,56,geoId/3658365,30617.0,,"['Pittsford, New York']",Pittsford,,43.089722222222,-77.516666666667,,36-58365,Q175909,['geoId/36055'],,geoId/36055,Monroe County,509.0,"Pittsford town, Monroe County, New York",30480.0, New York,Monroe County,58365,Pittsford,"Pittsford village, New York",1644.0,36,58354,Pittsford,756406.0,36.0,055,Monroe County, New York,30480.0,Census ACS5 County Subdivision
Saint Albans,Queens County,97924316.0,228,189.0,56.0,189,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,2360826.0,36.0,081,Queens County, New York,,
Webster,Monroe County,326095436.0,223,87.0,58.0,87,58,geoId/3678960,45327.0,42.8,['Webster'],Webster,1600000US3678960,43.216387,-77.4219,,,,"['geoId/36', 'geoId/36055', 'zip/14580']",14580,geoId/36055,Monroe County,514.0,"Webster town, Monroe County, New York",45223.0, New York,Monroe County,78971,Webster,"Webster village, New York",5725.0,36,78960,Webster,756406.0,36.0,055,Monroe County, New York,45223.0,Census ACS5 County Subdivision
Fresh Meadows,Queens County,2462114350.0,221,13.0,59.0,13,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,2360826.0,36.0,081,Queens County, New York,,
Hicksville,Nassau County,122842361.0,215,166.0,60.0,166,60,geoId/3634374,43869.0,41.5,['Hicksville'],Hicksville,1600000US3634374,40.7633,-73.5233,,36-34374,Q3452166,"['geoId/36', 'geoId/36059']",,geoId/36059,Nassau County,,,,,,,,"Hicksville CDP, New York",44084.0,36,34374,Hicksville,1389160.0,36.0,059,Nassau County, New York,44084.0,Census ACS5 Places
Bayside,Queens County,307987276.0,215,91.0,60.0,91,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,2360826.0,36.0,081,Queens County, New York,,
Lawrence,Nassau County,109121992.0,213,178.0,62.0,178,62,geoId/3641553,6809.0,28.3,['Lawrence'],Lawrence,1600000US3641553,40.602924,-73.714434,,36-41553,Q3477005,"['geoId/36', 'geoId/36059']",,geoId/36059,Nassau County,,,,,,,,"Lawrence village, New York",6773.0,36,41553,Lawrence,1389160.0,36.0,059,Nassau County, New York,6773.0,Census ACS5 Places
Liverpool,Onondaga County,89555280.0,211,196.0,63.0,196,63,geoId/3642884,2242.0,51.5,['Liverpool'],Liverpool,1600000US3642884,43.1033,-76.2067,,36-42884,Q3475914,"['geoId/36', 'geoId/36067']",,geoId/36067,Onondaga County,,,,,,,,"Liverpool village, New York",2331.0,36,42884,Liverpool,472637.0,36.0,067,Onondaga County, New York,2331.0,Census ACS5 Places
Bay Shore,Suffolk County,82567104.0,210,205.0,64.0,205,64,geoId/3604935,29244.0,35.6,['Bay Shore'],Bay Shore,1600000US3604935,40.729377,-73.250141,8dea479b-376e-4a89-bb18-ce37966ea2e7,36-04935,Q384692,"['geoId/36', 'geoId/36103', 'zip/11706']",11706,geoId/36103,Suffolk County,,,,,,,,"Bay Shore CDP, New York",30553.0,36,04935,Bay Shore,1524486.0,36.0,103,Suffolk County, New York,30553.0,Census ACS5 Places
Ridgewood,Queens County,185599176.0,208,125.0,65.0,125,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,2360826.0,36.0,081,Queens County, New York,,
Farmingdale,Nassau County,391360177.0,207,76.0,66.0,76,66,geoId/3625384,8466.0,45.7,['Farmingdale'],Farmingdale,1600000US3625384,40.732808,-73.445,,36-25384,Q2737048,"['geoId/36', 'geoId/36059', 'geoId/3656000', 'zip/11735']",11735,geoId/36059,Nassau County,,,,,,,,"Farmingdale village, New York",8428.0,36,25384,Farmingdale,1389160.0,36.0,059,Nassau County, New York,8428.0,Census ACS5 Places
