major_city,uszip_county,inc_tot,np_cnt,inc_rank,nbr_np_rank,inc_rank_seq,np_cnt_rank_seq,dc_place,Count_Person,Median_Age_Person,dc_all_names,dc_name,dc_usCensusGeoId,dc_latitude,dc_longitude,dc_musicbrainzAreaId,dc_fips553,dc_wikidataId,dc_contained,dc_zip,dc_county,dc_county_name,cnty_sub_o_ind,NAME,cnty_sub_B01001_001E,cnty_sub_state,cnty_sub_county,county subdivision,cnty_sub_name,acs5_name,place_B01001_001E,state,acs5_place_fips,acs5_city,cnty_B01001_001E,state_fips,cnty_fips,county_name,state_name,city_population,city_pop_src
Southold,Suffolk County,11661558.0,49,441.0,357.0,441,357,geoId/3669463,23732.0,,['Southold'],Southold,,41.064722222222,-72.426111111111,,36-69463,Q3709805,['geoId/36103'],,geoId/36103,Suffolk County,872.0,"Southold town, Suffolk County, New York",23692.0, New York,Suffolk County,69463,Southold,"Southold CDP, New York",6386.0,36,69452,Southold,1524486.0,36.0,103,Suffolk County, New York,23692.0,Census ACS5 County Subdivision
Palmyra,Wayne County,3808766.0,49,569.0,357.0,569,358,geoId/3656198,7975.0,,['Palmyra'],Palmyra,,43.0636,-77.2333,,36-56198,Q2270548,['geoId/36117'],,geoId/36117,Wayne County,966.0,"Palmyra town, Wayne County, New York",7406.0, New York,Wayne County,56198,Palmyra,"Palmyra village, New York",3326.0,36,56187,Palmyra,91324.0,36.0,117,Wayne County, New York,7406.0,Census ACS5 County Subdivision
Ticonderoga,Essex County,15967631.0,49,402.0,357.0,402,359,geoId/3673880,3250.0,41.1,['Ticonderoga'],Ticonderoga,1600000US3673880,43.842344,-73.423035,,,,"['geoId/36', 'geoId/36031', 'zip/12883']",12883,geoId/36031,Essex County,325.0,"Ticonderoga town, Essex County, New York",4779.0, New York,Essex County,73891,Ticonderoga,"Ticonderoga CDP, New York",3399.0,36,73880,Ticonderoga,37314.0,36.0,031,Essex County, New York,4779.0,Census ACS5 County Subdivision
Marcellus,Onondaga County,4344684.0,49,552.0,357.0,552,360,geoId/3645491,6066.0,,['Marcellus'],Marcellus,,42.982222222222,-76.34,a2d7ef73-4bc1-4657-9ac2-364ee00e0660,36-45491,Q3710243,['geoId/36067'],,geoId/36067,Onondaga County,589.0,"Marcellus town, Onondaga County, New York",6063.0, New York,Onondaga County,45491,Marcellus,"Marcellus village, New York",2048.0,36,45480,Marcellus,472637.0,36.0,067,Onondaga County, New York,6063.0,Census ACS5 County Subdivision
Ballston Lake,Saratoga County,2175293.0,49,642.0,357.0,642,361,,,,,,,,,,,,,,,,,,,,,,,,,,,,236328.0,36.0,091,Saratoga County, New York,,
Haverstraw,Rockland County,54672006.0,49,263.0,357.0,263,362,geoId/3632765,39087.0,,['Haverstraw'],Haverstraw,,41.19759,-73.96458,,36-32765,Q3710418,['geoId/36087'],,geoId/36087,Rockland County,728.0,"Haverstraw town, Rockland County, New York",38871.0, New York,Rockland County,32765,Haverstraw,"Haverstraw village, New York",12286.0,36,32754,Haverstraw,337326.0,36.0,087,Rockland County, New York,38871.0,Census ACS5 County Subdivision
Mount Sinai,Suffolk County,16778547.0,48,397.0,363.0,397,363,geoId/3649066,11623.0,47.5,['Mount Sinai'],Mount Sinai,1600000US3649066,40.9386,-73.0186,f9634cf4-1dff-4071-9ff2-bf7f367a9ac6,36-49066,Q3468969,"['geoId/36', 'geoId/36103']",,geoId/36103,Suffolk County,,,,,,,,"Mount Sinai CDP, New York",11641.0,36,49066,Mount Sinai,1524486.0,36.0,103,Suffolk County, New York,11641.0,Census ACS5 Places
Honeoye Falls,Monroe County,3131615.0,48,592.0,363.0,592,364,geoId/3635364,2706.0,41.5,['Honeoye Falls'],Honeoye Falls,1600000US3635364,42.954677,-77.587222222222,,36-35364,Q517641,"['geoId/36', 'geoId/36055', 'zip/14472']",14472,geoId/36055,Monroe County,,,,,,,,"Honeoye Falls village, New York",2774.0,36,35364,Honeoye Falls,756406.0,36.0,055,Monroe County, New York,2774.0,Census ACS5 Places
Germantown,Columbia County,17597879.0,47,390.0,365.0,390,365,geoId/3628772,1936.0,,['Germantown'],Germantown,,42.13453,-73.8918,,36-28772,Q3761144,['geoId/36021'],,geoId/36021,Columbia County,212.0,"Germantown town, Columbia County, New York",1759.0, New York,Columbia County,28772,Germantown,"Germantown CDP, New York",1068.0,36,28761,Germantown,61469.0,36.0,021,Columbia County, New York,1759.0,Census ACS5 County Subdivision
Central Square,Oswego County,2521096.0,47,619.0,365.0,619,366,geoId/3613585,1862.0,41.7,['Central Square'],Central Square,1600000US3613585,43.2842,-76.141879,,36-13585,Q3459830,"['geoId/36', 'geoId/36075', 'zip/13036']",13036,geoId/36075,Oswego County,,,,,,,,"Central Square village, New York",2079.0,36,13585,Central Square,118037.0,36.0,075,Oswego County, New York,2079.0,Census ACS5 Places
